Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Note
ITA,2005-04-01,2005-04-30,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2005,2005,,81.818180,X,base year is 2015
ITA,2006-04-01,2006-04-30,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2006,2006,,82.553470,X,base year is 2015
ITA,2007-04-01,2007-04-30,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2007,2007,,84.759360,X,base year is 2015
ITA,2008-04-01,2008-04-30,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2008,2008,,89.505350,X,base year is 2015
ITA,2009-04-01,2009-04-30,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2009,2009,,91.911770,X,base year is 2015
ITA,2010-04-01,2010-04-30,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2010,2010,,91.711230,X,base year is 2015
ITA,2011-04-01,2011-04-30,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2011,2011,,93.841910,X,base year is 2015
ITA,2012-04-01,2012-04-30,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2012,2012,,96.139710,X,base year is 2015
ITA,2013-04-01,2013-04-30,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2013,2013,,98.713230,X,base year is 2015
ITA,2014-04-01,2014-04-30,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2014,2014,,99.080880,X,base year is 2015
ITA,2015-04-01,2015-04-30,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2015,2015,,100.091900,X,base year is 2015
ITA,2016-04-01,2016-04-30,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2016,2016,,100.000000,X,base year is 2015
ITA,2017-04-01,2017-04-30,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2017,2017,,102.200000,X,base year is 2015
ITA,2018-04-01,2018-04-30,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2018,2018,,103.400000,X,base year is 2015
ITA,2019-04-01,2019-04-30,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2019,2019,,103.800000,X,base year is 2015
ITA,2020-04-01,2020-04-30,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2020,2020,,106.700000,X,base year is 2015
ITA,2021-04-01,2021-04-30,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2021,2021,,106.200000,X,base year is 2015
ITA,2022-04-01,2022-04-30,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2022,2022,,113.000000,X,base year is 2015
ITA,2023-04-01,2023-04-30,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2023,2023,,126.700000,X,base year is 2015
ITA,2000-05-01,2000-05-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2000,2000,,71.925130,X,base year is 2015
ITA,2001-05-01,2001-05-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2001,2001,,74.799470,X,base year is 2015
ITA,2002-05-01,2002-05-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2002,2002,,77.807490,X,base year is 2015
ITA,2003-05-01,2003-05-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2003,2003,,79.612300,X,base year is 2015
ITA,2004-05-01,2004-05-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2004,2004,,82.085560,X,base year is 2015
ITA,2005-05-01,2005-05-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2005,2005,,81.951870,X,base year is 2015
ITA,2006-05-01,2006-05-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2006,2006,,82.754010,X,base year is 2015
ITA,2007-05-01,2007-05-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2007,2007,,84.959890,X,base year is 2015
ITA,2008-05-01,2008-05-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2008,2008,,89.906420,X,base year is 2015
ITA,2009-05-01,2009-05-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2009,2009,,92.112300,X,base year is 2015
ITA,2010-05-01,2010-05-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2010,2010,,91.711230,X,base year is 2015
ITA,2011-05-01,2011-05-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2011,2011,,94.485290,X,base year is 2015
ITA,2012-05-01,2012-05-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2012,2012,,96.415440,X,base year is 2015
ITA,2013-05-01,2013-05-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2013,2013,,99.356620,X,base year is 2015
ITA,2014-05-01,2014-05-31,106,'380,Italy,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2014,2014,,99.172790,X,base year is 2015
